description,Valid FQDNs,PhishingAlertURL,antiphishing_jp
FedEx,www.fedex.com,https://www.fedex.com/en-us/trust-center/report-fraud.html,
エポスカード,www.eposcard.co.jp,https://www.eposcard.co.jp/security/unauthorized-use/index.html,https://www.antiphishing.jp/news/alert/eposcard_20210607.html
au,www.au.com,https://www.au.com/support/service/mobile/trouble/forestalling/safety/edification/,
au,connect.auone.jp,https://www.au.com/support/service/mobile/trouble/forestalling/safety/edification/,
Amazon,www.amazon.co.jp,,
Orico,www.orico.co.jp,,
ETC利用照会サービス,www.etc-meisai.jp,,
ETC利用照会サービス,www2.etc-meisai.jp,,
NTT docomo,www.docomo.ne.jp,,
Australian Government,,,
LinkedIn,jp.linkedin.com,,
三井住友カード,www.smbc-card.com,,
えきねっと,www.eki-net.com,,
イオンカード,www.aeon.co.jp,,
Idaho Central Credit Union,,,
TD Bank,,,
American Express,www.americanexpress.com,,
NHK,www.nhk.or.jp,,
United Parcel Service Inc.,,,
Nickel,,,
ぷらら,www.plala.or.jp,,
アルファメール,www.alpha-mail.jp,,
りそな銀行,www.resonabank.co.jp,,
Wells Fargo,,,
国税庁,www.nta.go.jp,,
Impots.gouv.fr,,,
Microsoft,www.microsoft.com,,
BT,,,
SPD BANK,,,
Adobe,www.adobe.com,,
VISA,www.visa.co.jp,,
Svenska Handelsbanken,,,
三越伊勢丹,www.mistore.jp,,
MICARD,www2.micard.co.jp,,
SAISON CARD,www.saisoncard.co.jp,,
GMOあおぞらネット銀行,gmo-aozora.com,,
楽天カード,www.rakuten-card.co.jp,,
三菱UFJフィナンシャルグループ,www.mufg.jp,,
楽天,www.rakuten.co.jp,,
STNet,www.stnet.co.jp,,
横浜銀行,www.boy.co.jp,,
softbank,www.softbank.co.jp,,
ヨドバシカメラ,www.yodobashi.com,,
Apple ID,,,
BIGLOBE,www.biglobe.ne.jp,,
日本郵便,www.post.japanpost.jp,,
アプラス,www.aplus.co.jp,,
みずほ銀行,www.mizuhobank.co.jp,,
モバイルSuica,www.mobilesuica.com,,
TikTok,www.tiktok.com,,
TS CUBIC CARD_MY TS3,,,
Netflix,www.netflix.com,,
Viewcard,,,
Bank of America,,,
Yahoo! JAPAN,www.yahoo.co.jp,,
ヤマト運輸,www.kuronekoyamato.co.jp,,
PayPal,,,
Outlook Web App,outlook.office.com,,
Outlook Web App,outlook.live.com,,
Poste Italiane,,,
三菱UFJニコス,www.cr.mufg.jp,,
ポケットカード,www.pocketcard.co.jp,,
PayPay,paypay.ne.jp,,
三井住友銀行,www.smbc.co.jp,,
PARCO,parco.jp,,
Metamask,metamask.io,,
E*TRADE,us.etrade.com,,
UC Card,www2.uccard.co.jp,,
KDDI,www.kddi.com,,
Santander,,,
Facebook,ja-jp.facebook.com,,
Costco,www.costco.co.jp,,
メルカリ,jp.mercari.com,,
厚生労働省,www.mhlw.go.jp,,
DHL,www.dhl.com,,
nifty,www.nifty.com,,
じゃらん,www.jalan.net,,
りそなカード,www.resonacard.co.jp,,
日本年金機構,www.nenkin.go.jp,,
M&T Bank,,,
BMO,,,
SharePoint,,,
JCB,www.jcb.co.jp,,
UNIQLO,www.uniqlo.com,,
LIFE CARD,www.lifecard.co.jp,,
BINANCE,www.binance.com,,
ソニー銀行,moneykit.net,,
ソニー銀行,sonybank.net,,
お名前.com,www.onamae.com,,
Metro Bank,,,
Swiss Post,,,
エックスサーバー株式会社,www.xserver.co.jp,,
藤井大丸,www.fujiidaimaru.co.jp,,
ABSA Bank,,,
SpareBank 1,,,
REGIONS,,,
SMBC ファイナンスサービス,www.smbc-fs.co.jp,,
CitiBank,www.citi.com,,
mont-bell,www.montbell.jp,,
三菱UFJ銀行,www.bk.mufg.jp,,
Office365,,,
DBS PayLah,,,
