LastUpdate,description,Valid FQDNs,PhishingAlertURL,antiphishing_jp
2023/2/1,FedEx,www.fedex.com,https://www.fedex.com/en-us/trust-center/report-fraud.html,
2023/2/1,エポスカード,www.eposcard.co.jp,https://www.eposcard.co.jp/security/unauthorized-use/index.html,https://www.antiphishing.jp/news/alert/eposcard_20210607.html
2023/2/1,au,www.au.com,https://www.au.com/support/service/mobile/trouble/forestalling/safety/edification/,
2023/2/1,au,connect.auone.jp,https://www.au.com/support/service/mobile/trouble/forestalling/safety/edification/,
2023/2/2,Amazon,amazon.co.jp,https://www.amazon.co.jp/gp/help/customer/display.html?nodeId=G4YFYCCNUSENA23B,https://www.antiphishing.jp/news/alert/amazonQR_20230105.html
2023/2/2,Amazon,www.amazon.co.jp,https://www.amazon.co.jp/gp/help/customer/display.html?nodeId=G4YFYCCNUSENA23B,https://www.antiphishing.jp/news/alert/amazonQR_20230105.html
2023/2/2,Amazon,*.amazon.co.jp,https://www.amazon.co.jp/gp/help/customer/display.html?nodeId=G4YFYCCNUSENA23B,https://www.antiphishing.jp/news/alert/amazonQR_20230105.html
2023/2/2,Orico,www.orico.co.jp,https://www.orico.co.jp/support/careful/trouble_online/,https://www.antiphishing.jp/news/alert/orico_20221209.html
2023/2/2,Orico,orico.jp,https://www.orico.co.jp/support/careful/trouble_online/,https://www.antiphishing.jp/news/alert/orico_20221209.html
2023/2/2,Orico,*.orico.co.jp,https://www.orico.co.jp/support/careful/trouble_online/,https://www.antiphishing.jp/news/alert/orico_20221209.html
2023/2/2,Orico,www.orico.tv,https://www.orico.co.jp/support/careful/trouble_online/,https://www.antiphishing.jp/news/alert/orico_20221209.html
2023/2/1,ETC利用照会サービス,www.etc-meisai.jp,https://www.etc-meisai.jp/caution/caution_phishing.html,https://www.antiphishing.jp/news/alert/etcQR_20221115.html
2023/2/1,ETC利用照会サービス,www2.etc-meisai.jp,不明,不明
2023/2/2,NTT docomo,www.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,aihoken.web.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,anm.smt.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,application.ald.smt.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,app-manager.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,biz-rescue.smt.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,c.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,dcard.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,d-card.smt.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,dpoint.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,global.id.smt.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,gpcp204.tda.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,gs.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,id.smt.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,id-biz.smt.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
2023/2/2,NTT docomo,loan.docomo.ne.jp,https://www.docomo.ne.jp/info/anti-phishing/confirmation/?icid=CRP_INFO_anti-phishing_to_CRP_INFO_anti-phishing_confirmation,https://www.antiphishing.jp/news/alert/nttdocomo_20220210.html
